#totalCols	totalRows	mapWidth	mapHeight
21	4	2816	432
# 
#1: platform brick	#57: card	#50: portal	#...
#row	col	objId	objType
2	19	1	57
3	0	2	1
3	0	3	1
3	0	4	1
3	0	5	1
3	0	6	1
3	0	7	1
3	0	8	1
3	0	9	1
3	0	10	1
3	1	11	1
3	1	12	1
3	1	13	1
3	1	14	1
3	1	15	1
3	1	16	1
3	1	17	1
3	1	18	1
3	2	19	1
3	2	20	1
3	2	21	1
3	2	22	1
3	2	23	1
3	2	24	1
3	2	25	1
3	2	26	1
3	2	27	1
3	3	28	1
3	3	29	1
3	3	30	1
3	3	31	1
3	3	32	1
3	3	33	1
3	3	34	1
3	3	35	1
3	3	36	1
3	3	37	1
3	3	38	1
3	3	39	1
3	3	40	1
3	3	41	1
3	3	42	1
3	3	43	1
3	3	44	1
3	5	45	1
3	5	46	1
3	5	47	1
3	5	48	1
3	5	49	1
3	5	50	1
3	5	51	1
3	5	52	1
3	6	53	1
3	6	54	1
3	6	55	1
3	6	56	1
3	6	57	1
3	6	58	1
3	6	59	1
3	6	60	1
3	6	61	1
3	7	62	1
3	7	63	1
3	7	64	1
3	7	65	1
3	7	66	1
3	7	67	1
3	7	68	1
3	7	69	1
3	8	70	1
3	8	71	1
3	8	72	1
3	8	73	1
3	8	74	1
3	9	75	1
3	9	76	1
3	9	77	1
3	9	78	1
3	9	79	1
3	9	80	1
3	9	81	1
3	9	82	1
3	10	83	1
3	10	84	1
3	10	85	1
3	10	86	1
3	10	87	1
3	10	88	1
3	10	89	1
3	10	90	1
3	10	91	1
3	11	92	1
3	11	93	1
3	11	94	1
3	11	95	1
3	11	96	1
3	12	97	1
3	12	98	1
3	12	99	1
3	12	100	1
3	12	101	1
3	12	102	1
3	12	103	1
3	13	104	1
3	13	105	1
3	13	106	1
3	13	107	1
3	13	108	1
3	13	109	1
3	13	110	1
3	13	111	1
3	14	112	1
3	14	113	1
3	14	114	1
3	14	115	1
3	14	116	1
3	14	117	1
3	14	118	1
3	14	119	1
3	14	120	1
3	15	121	1
3	15	122	1
3	15	123	1
3	15	124	1
3	15	125	1
3	15	126	1
3	15	127	1
3	15	128	1
3	16	129	1
3	16	130	1
3	16	131	1
3	16	132	1
3	16	133	1
3	16	134	1
3	16	135	1
3	16	136	1
3	17	137	1
3	17	138	1
3	17	139	1
3	17	140	1
3	17	141	1
3	17	142	1
3	17	143	1
3	17	144	1
3	18	145	1
3	18	146	1
3	18	147	1
3	18	148	1
3	18	149	1
3	18	150	1
3	18	151	1
3	18	152	1
3	18	153	1
3	19	154	1
3	19	155	1
3	19	156	1
3	19	157	1
3	19	158	1
3	19	159	1
3	19	160	1
3	19	161	1
3	20	162	1
3	20	163	1
3	20	164	1
3	20	165	1
3	20	166	1
3	20	167	1
2	1	168	142
2	1	169	142
2	1	170	142
2	1	171	142
2	3	172	142
3	3	173	142
2	5	174	142
1	10	175	142
2	10	176	142
2	14	177	142
2	14	178	112
2	14	179	112
2	14	180	112
3	14	181	112
3	14	182	112
3	14	183	112
3	14	184	112
3	14	185	112
3	14	186	112
3	14	187	112
3	14	188	112
3	14	189	112
3	15	190	112
3	15	191	112
3	15	192	112
3	14	193	112
3	14	194	112
3	15	195	112
2	11	196	1
2	11	197	1
3	11	198	1
3	11	199	1
3	11	200	1
2	11	201	1
3	11	202	1
3	11	203	1
2	12	204	1
3	12	205	1
3	12	206	1
3	12	207	1
3	12	208	1
3	12	209	1
2	16	210	1
2	16	211	1
2	16	212	1
2	16	213	1
1	10	214	4
1	11	215	4
1	11	216	4
1	11	217	4
1	11	218	4
1	11	219	4
1	11	220	4
1	11	221	4
1	11	222	4
1	12	223	4
1	12	224	4
1	12	225	4
1	12	226	4
1	10	227	4
1	10	228	4
1	10	229	4
1	10	230	4
3	13	231	7
2	2	232	70
2	13	233	70
2	2	234	1
3	2	235	1
3	2	236	1
2	2	237	1
3	2	238	1
3	2	239	1
3	13	240	1
3	13	241	1
3	13	242	1
3	13	243	1
2	13	244	1
3	13	245	1
3	13	246	1
2	13	247	1
3	13	248	1
3	13	249	1
0	16	250	1
1	16	251	1
1	16	252	1
1	16	253	1
1	16	254	1
1	16	255	1
1	16	256	1
1	16	257	1
1	16	258	1
2	16	259	1
2	16	260	1
2	16	261	1
3	16	262	1
3	16	263	1
0	16	264	1
1	16	265	1
1	16	266	1
1	16	267	1
1	16	268	1
1	16	269	1
1	16	270	1
1	16	271	1
1	16	272	1
2	16	273	1
2	16	274	1
2	16	275	1
3	16	276	1
3	16	277	1
3	17	278	1
3	17	279	1
3	17	280	1
3	17	281	1
2	1	282	4
2	1	283	4
2	2	284	4
2	2	285	4
2	2	286	4
2	2	287	4
2	2	288	4
2	3	289	4
2	3	290	4
2	3	291	4
2	3	292	4
2	3	293	4
2	3	294	4
2	3	295	4
2	3	296	4
3	3	297	4
2	3	298	4
3	3	299	4
2	3	300	4
3	3	301	4
2	3	302	4
3	3	303	4
2	3	304	4
3	3	305	4
3	3	306	4
3	9	307	4
3	9	308	4
2	9	309	4
3	9	310	4
1	9	311	4
2	9	312	4
3	9	313	4
1	9	314	4
2	9	315	4
3	9	316	4
2	9	317	4
1	9	318	4
2	9	319	4
3	9	320	4
2	9	321	4
2	10	322	4
1	10	323	4
3	10	324	4
2	10	325	4
2	10	326	4
2	10	327	4
2	10	328	4
2	10	329	4
2	10	330	4
2	10	331	4
2	15	332	4
2	15	333	4
2	16	334	4
2	16	335	4
2	16	336	4
2	16	337	4
2	7	338	6
2	8	339	6
2	8	340	6
1	8	341	6
1	8	342	6
0	9	343	6
0	9	344	6
0	10	345	6
0	10	346	6
0	10	347	6
1	11	348	6
1	11	349	6
1	11	350	6
1	11	351	6
0	11	352	6
0	12	353	6
0	12	354	6
0	12	355	6
1	12	356	6
0	12	357	6
1	12	358	6
0	13	359	6
1	13	360	6
3	1	361	2
3	3	362	2
3	6	363	2
3	6	364	2
2	7	365	2
2	3	366	3
2	15	367	3
3	11	368	3
2	9	369	3
2	10	370	3
2	10	371	3
0	16	372	50
